Reaction,Category
EX_h2s_e,Inorganic Compounds
EX_glyb_e,Other
EX_ins_e,Nucleotides/Nucleosides
EX_nh4_e,Inorganic Compounds
EX_acac_e,Organic Acids
EX_acald_e,Other
EX_cellb_e,Sugars
EX_xtsn_e,Nucleotides/Nucleosides
EX_g6p_e,Sugars
EX_rib__D_e,Amino Acids/Peptides
EX_4abz_e,Organic Acids
EX_thymd_e,Nucleotides/Nucleosides
EX_dxylnt_e,Organic Acids
EX_rnam_e,Nucleotides/Nucleosides
EX_3gmp_e,Nucleotides/Nucleosides
EX_cyan_e,Organic Acids
EX_gthox_e,Other
EX_ppi_e,Vitamins/Cofactors
EX_5oxpro_e,Organic Acids
EX_fald_e,Other
EX_ttdcea_e,Fatty Acids
EX_fe3_e,Inorganic Compounds
EX_mobd_e,Inorganic Compounds
EX_ni2_e,Inorganic Compounds
EX_dachi_e,Sugars
EX_uacgam_e,Sugars
EX_2mba_e,Organic Acids
EX_2mbald_e,Other
EX_4abutn_e,Other
EX_4hba_e,Organic Acids
EX_4hbz_e,Other
EX_cgly_e,Amino Acids/Peptides
EX_co2_e,Inorganic Compounds
EX_co_e,Inorganic Compounds
EX_etoh_e,Other
EX_fe3dcit_e,Inorganic Compounds
EX_g6p_B_e,Sugars
EX_gcald_e,Other
EX_glyald_e,Sugars
EX_glygln_e,Amino Acids/Peptides
EX_gthrd_e,Amino Acids/Peptides
EX_gua_e,Nucleotides/Nucleosides
EX_hom__L_e,Amino Acids/Peptides
EX_id3acald_e,Other
EX_inost_e,Sugar Alcohols
EX_istfrnA_e,Other
EX_istfrnB_e,Other
EX_lac__L_e,Organic Acids
EX_mththf_e,Vitamins/Cofactors
EX_no2_e,Inorganic Compounds
EX_ocdcea_e,Fatty Acids
EX_ppap_e,Organic Acids
EX_pyovd_kt_e,Other
EX_stfrnA_e,Other
EX_stfrnB_e,Other
EX_thym_e,Nucleotides/Nucleosides
EX_ura_e,Nucleotides/Nucleosides
