,community_growth
drop_1056.pkl,7.544713638571576
drop_1432.pkl,7.545658726817562
drop_1124.pkl,7.626749771571076
drop_364.pkl,7.379925197002804
drop_2774.pkl,7.543392228801116
drop_1234.pkl,7.488394446457045
drop_230.pkl,7.5728081725056295
drop_2862.pkl,7.543603949714761
drop_793.pkl,7.545570206715581
drop_867.pkl,7.55120272852452
drop_868.pkl,7.5433871834886626
drop_1174.pkl,7.587855125137285
drop_2872.pkl,7.656887005043391
drop_946.pkl,7.544716660597214
drop_778.pkl,7.533366497646773
drop_100.pkl,7.555101453915066
drop_1334.pkl,7.615886715508418
drop_352.pkl,7.598232269400538
drop_1167.pkl,7.542311932625454
drop_163.pkl,7.552854376520349
drop_644.pkl,7.543712451975789
drop_892.pkl,7.1197414585878835
drop_504.pkl,7.445619701256871
drop_761.pkl,7.540202157553202
drop_1391.pkl,7.537037547747555
drop_1018.pkl,7.54317717444332
drop_161.pkl,7.535941125334991
