,focal,partner,reaction,class,flux
0,1208,1334,EX_25dkglcn_e,co-consumed,1.0325575002276266e-06
1,1208,1334,EX_4abut_e,co-consumed,1.0509942657985958
2,1208,1334,EX_5dglcn_e,co-consumed,2.1438269391793606e-06
3,1208,1334,EX_5drib_e,co-consumed,1.080130703967771e-06
4,1208,1334,EX_acald_e,received,1.3910553078204e-05
5,1208,1334,EX_akg_e,co-consumed,1.1270238683699918e-06
6,1208,1334,EX_ala__D_e,co-consumed,2.3272097817775057e-06
7,1208,1334,EX_ala__L_e,co-consumed,6.728362473716e-06
8,1208,1334,EX_arab__L_e,provided,2.194963768907543e-06
9,1208,1334,EX_arg__L_e,co-consumed,0.01244663148822278
10,1208,1334,EX_aso4_e,co-consumed,1.7520511851826237e-06
11,1208,1334,EX_asp__L_e,co-consumed,1.4310035219224e-05
12,1208,1334,EX_ca2_e,co-consumed,0.00021900871888727198
13,1208,1334,EX_cit_e,co-consumed,0.0008580372397846241
14,1208,1334,EX_cl_e,co-consumed,0.00021900875879698
15,1208,1334,EX_cobalt2_e,co-consumed,4.207660305228e-06
16,1208,1334,EX_creat_e,co-consumed,4.640357642844e-06
17,1208,1334,EX_crn_e,co-consumed,1.417606130202087e-06
18,1208,1334,EX_cu2_e,co-consumed,2.9832311564087997e-05
19,1208,1334,EX_cyan_e,co-consumed,1.5516658970451955e-06
20,1208,1334,EX_cys__L_e,co-consumed,0.00391130360234276
21,1208,1334,EX_dad_2_e,received,1.091509760725056e-06
22,1208,1334,EX_fe2_e,co-consumed,0.000283936792954472
23,1208,1334,EX_fe3_e,co-consumed,0.6475029295245459
24,1208,1334,EX_fru_e,co-consumed,3.5201546298192365e-06
25,1208,1334,EX_fum_e,co-consumed,1.0465960695608e-05
26,1208,1334,EX_glu__L_e,provided,0.0016603338979054641
27,1208,1334,EX_gly_e,co-consumed,1.5719052485100003e-05
28,1208,1334,EX_glyald_e,co-consumed,3.999971042625509
29,1208,1334,EX_glyb_e,provided,4.259475084164e-06
30,1208,1334,EX_glyclt_e,co-consumed,1.5641569086216e-05
31,1208,1334,EX_glygln_e,co-consumed,9.928382851668e-06
32,1208,1334,EX_gsn_e,co-consumed,2.0454600025136e-05
33,1208,1334,EX_gthrd_e,co-consumed,0.001728758564916576
34,1208,1334,EX_gua_e,co-consumed,6.191244381812e-06
35,1208,1334,EX_h2o_e,co-consumed,0.8714932003481161
36,1208,1334,EX_h2s_e,co-consumed,0.006358087056495728
37,1208,1334,EX_h_e,provided,2.8644940572451647
38,1208,1334,EX_hxan_e,co-consumed,2.18849957995898e-06
39,1208,1334,EX_icit_e,co-consumed,2.5517414355660794e-06
40,1208,1334,EX_idon__L_e,co-consumed,4.731295854944e-06
41,1208,1334,EX_ile__L_e,co-consumed,0.01307522062915522
42,1208,1334,EX_k_e,co-consumed,0.008213058379589529
43,1208,1334,EX_lac__L_e,co-consumed,4.740947787528e-05
44,1208,1334,EX_lys__L_e,received,0.01443387180028534
45,1208,1334,EX_mal__L_e,provided,4.4604004641624e-05
46,1208,1334,EX_malt_e,co-consumed,0.01873298303946132
47,1208,1334,EX_mg2_e,co-consumed,0.000365014521143208
48,1208,1334,EX_mn2_e,co-consumed,2.9074932709144e-05
49,1208,1334,EX_no2_e,co-consumed,1.5652750945776e-05
50,1208,1334,EX_no_e,co-consumed,1.3639536095848e-05
51,1208,1334,EX_o2_e,co-consumed,3.9999986398696548
52,1208,1334,EX_orn_e,co-consumed,0.009011070980702508
53,1208,1334,EX_pi_e,co-consumed,0.059154063905691924
54,1208,1334,EX_pro__L_e,co-consumed,7.913330560708e-06
55,1208,1334,EX_pyovd_kt_e,co-consumed,0.14712795278416868
56,1208,1334,EX_pyr_e,co-consumed,1.6598140846998955e-06
57,1208,1334,EX_raffin_e,co-consumed,1.8952798453120149e-06
58,1208,1334,EX_ser__L_e,co-consumed,2.70630489428387
59,1208,1334,EX_skm_e,co-consumed,2.2011069205485344e-06
60,1208,1334,EX_so4_e,co-consumed,0.000183279845308668
61,1208,1334,EX_stfrnA_e,co-consumed,0.25002421868280567
62,1208,1334,EX_stfrnB_e,co-consumed,0.2500273993598653
63,1208,1334,EX_succ_e,received,1.1229014264002296e-06
64,1208,1334,EX_sucr_e,co-consumed,1.1734115608902361e-06
65,1208,1334,EX_thr__L_e,co-consumed,1.2967153376714422e-06
66,1208,1334,EX_tnt_e,co-consumed,1.3749668213978291e-06
67,1208,1334,EX_tyr__L_e,co-consumed,0.0058043498158591045
68,1208,1334,EX_ura_e,co-consumed,6.6089514687280006e-06
69,1208,1334,EX_vanlt_e,co-consumed,3.6590823618623538e-06
70,1208,1334,EX_xyl__D_e,co-consumed,4.115719387492e-06
71,1208,1334,EX_zn2_e,co-consumed,1.4348121640836e-05
72,1208,397,EX_3oxoadp_e,co-consumed,2.7326355756732145e-06
73,1208,397,EX_5drib_e,co-consumed,1.080130703967771e-06
74,1208,397,EX_acald_e,received,0.033216687384963965
75,1208,397,EX_acon_C_e,co-consumed,4.583031317504e-06
76,1208,397,EX_ala__L_e,co-consumed,2.1144037942263998e-05
77,1208,397,EX_alahis_e,co-consumed,2.318792716785589e-06
78,1208,397,EX_alltn_e,co-consumed,1.7626898206984932e-06
79,1208,397,EX_arg__L_e,co-consumed,0.01244663148822278
80,1208,397,EX_asn__L_e,co-consumed,0.004569677860753184
81,1208,397,EX_aso4_e,co-consumed,1.0107887140953232e-06
82,1208,397,EX_asp__L_e,co-consumed,1.4310035219224e-05
83,1208,397,EX_ca2_e,co-consumed,0.00021900871888727198
84,1208,397,EX_cit_e,co-consumed,0.9206337747506831
85,1208,397,EX_cl_e,co-consumed,0.00021900875879698
86,1208,397,EX_cobalt2_e,co-consumed,4.207660305228e-06
87,1208,397,EX_cu2_e,co-consumed,2.9832311564087997e-05
88,1208,397,EX_cyan_e,co-consumed,1.5424304453073856e-06
89,1208,397,EX_cys__L_e,co-consumed,0.00391130360234276
90,1208,397,EX_dad_2_e,co-consumed,1.9154995572654234e-06
91,1208,397,EX_fe2_e,co-consumed,0.000283936792954472
92,1208,397,EX_fe3_e,co-consumed,0.6475029295245459
93,1208,397,EX_fru_e,co-consumed,7.399190698272e-06
94,1208,397,EX_fum_e,co-consumed,1.0465960695608e-05
95,1208,397,EX_gal_e,received,2.677931708406356e-06
96,1208,397,EX_galur_e,provided,4.53071236654e-06
97,1208,397,EX_glcur_e,provided,1.0463513724282004e-06
98,1208,397,EX_glu__L_e,provided,5.166751666516001e-06
99,1208,397,EX_gly_e,co-consumed,2.9834595603032002e-05
100,1208,397,EX_glyc_e,provided,0.001011236927962612
101,1208,397,EX_glygln_e,co-consumed,0.03423709705322375
102,1208,397,EX_gsn_e,co-consumed,9.81862600136e-06
103,1208,397,EX_gua_e,co-consumed,0.009131729599260605
104,1208,397,EX_h2o2_e,provided,1.7422550721601927e-06
105,1208,397,EX_h2o_e,received,0.8714932003481161
106,1208,397,EX_h2s_e,received,0.006358087056495728
107,1208,397,EX_h_e,provided,2.8644940572451647
108,1208,397,EX_hisgly_e,co-consumed,1.4169845034497918e-06
109,1208,397,EX_hxan_e,co-consumed,1.5026413604227185e-06
110,1208,397,EX_ile__L_e,co-consumed,0.01307522062915522
111,1208,397,EX_k_e,co-consumed,0.008213058379589529
112,1208,397,EX_lac__L_e,co-consumed,3.4562239362148e-05
113,1208,397,EX_lys__L_e,co-consumed,0.01443387180028534
114,1208,397,EX_mal__L_e,provided,1.4460463111828915e-06
115,1208,397,EX_malt_e,co-consumed,1.4491871787064e-05
116,1208,397,EX_malthp_e,provided,1.0380154462274571e-06
117,1208,397,EX_meoh_e,provided,6.58058851358e-06
118,1208,397,EX_met__D_e,provided,1.0344790317807112e-06
119,1208,397,EX_mg2_e,co-consumed,0.000365014521143208
120,1208,397,EX_mn2_e,co-consumed,2.9074932709144e-05
121,1208,397,EX_nh4_e,provided,0.4923625719845115
122,1208,397,EX_no3_e,provided,4.619653781100001e-06
123,1208,397,EX_no_e,received,2.6192700748706166e-06
124,1208,397,EX_o2_e,co-consumed,3.9999986398696548
125,1208,397,EX_orn_e,co-consumed,0.009011070980702508
126,1208,397,EX_pheme_e,provided,1.6637485757833858e-06
127,1208,397,EX_pi_e,co-consumed,0.059154063905691924
128,1208,397,EX_pro__L_e,co-consumed,3.86759322050928e-06
