,focal,partner,reaction,class,flux
101,1334,163,EX_glyald_e,co-consumed,0.11762524860813016
102,1334,163,EX_glyc_e,provided,0.02639678393326761
103,1334,163,EX_glygln_e,co-consumed,0.19882805343312032
104,1334,163,EX_gsn_e,co-consumed,4.419677672184616e-06
105,1334,163,EX_gua_e,co-consumed,0.05602998569463174
106,1334,163,EX_h2o2_e,provided,4.3563088906e-06
107,1334,163,EX_h2o_e,co-consumed,3.8326149141324772
108,1334,163,EX_h2s_e,co-consumed,0.05669442219344788
109,1334,163,EX_h_e,co-consumed,1.0167945260993354
110,1334,163,EX_hexs_e,received,1.1755515622834438e-06
111,1334,163,EX_his__L_e,co-consumed,2.8782681201550002e-05
112,1334,163,EX_hishis_e,co-consumed,6.188072051596154e-06
113,1334,163,EX_hxan_e,co-consumed,4.631882573307692e-06
114,1334,163,EX_ile__L_e,co-consumed,3.5981613529945235e-06
115,1334,163,EX_ins_e,provided,1.6850130268476974e-06
116,1334,163,EX_istfrnA_e,provided,9.37997257431e-05
117,1334,163,EX_istfrnB_e,provided,9.568576336178847e-05
118,1334,163,EX_k_e,co-consumed,0.04497390017938744
119,1334,163,EX_lac__L_e,provided,2.2310489769805835
120,1334,163,EX_leu__L_e,co-consumed,0.10377024869899146
121,1334,163,EX_lnlc_e,received,1.4614324957569231e-05
122,1334,163,EX_lys__L_e,provided,0.07906552553451937
123,1334,163,EX_meoh_e,provided,8.002495507542308e-06
124,1334,163,EX_met__L_e,provided,1.3923963997056034e-06
125,1334,163,EX_metox_e,provided,1.3554957140419765e-06
126,1334,163,EX_mg2_e,co-consumed,0.0019987837359668388
127,1334,163,EX_mn2_e,co-consumed,0.0001592114728702154
128,1334,163,EX_no2_e,received,0.00011021439337829616
129,1334,163,EX_no3_e,provided,9.949526197805001e-05
130,1334,163,EX_no_e,received,6.150408540511538e-06
131,1334,163,EX_o2_e,co-consumed,3.84615362881746
132,1334,163,EX_orn_e,co-consumed,0.0509197168906
133,1334,163,EX_pea_e,provided,2.3364877032580768e-05
134,1334,163,EX_pheme_e,provided,2.037203969611639e-06
135,1334,163,EX_pi_e,co-consumed,0.22268244865019532
136,1334,163,EX_pnto__R_e,co-consumed,2.3161353461510233e-06
137,1334,163,EX_pyovd_kt_e,received,9.066118190544232e-05
138,1334,163,EX_rib__D_e,co-consumed,1.0723937787872875e-06
139,1334,163,EX_ser__L_e,co-consumed,0.16052527263996938
140,1334,163,EX_skm_e,co-consumed,1.2296408767862724e-06
141,1334,163,EX_so4_e,co-consumed,0.0010014441983207693
142,1334,163,EX_stfrnA_e,received,9.379972574309617e-05
143,1334,163,EX_stfrnB_e,received,9.568576336178847e-05
144,1334,163,EX_thr__L_e,co-consumed,0.005292149623333993
145,1334,163,EX_trp__L_e,received,1.3673316460558187e-06
146,1334,163,EX_ttdcea_e,received,1.4696760559468028e-06
147,1334,163,EX_tyr__L_e,provided,1.181690117682258e-06
148,1334,163,EX_ura_e,received,0.006183550313298108
149,1334,163,EX_val__L_e,co-consumed,8.510756318326924e-06
150,1334,163,EX_zn2_e,co-consumed,7.856890339905e-05
151,1334,2872,EX_5dglcn_e,co-consumed,2.4134896508882e-06
152,1334,2872,EX_acac_e,received,1.1794883682136938e-06
153,1334,2872,EX_alahis_e,co-consumed,1.860880405149321e-06
154,1334,2872,EX_arg__L_e,co-consumed,0.04673723443191512
155,1334,2872,EX_asn__L_e,received,1.3973884005330794e-06
