,focal,partner,reaction,class,flux
0,1334,161,EX_arg__L_e,co-consumed,0.0396449825013695
1,1334,161,EX_ca2_e,co-consumed,0.0006976258541753462
2,1334,161,EX_cit_e,co-consumed,0.010816116709596531
3,1334,161,EX_cl_e,co-consumed,0.0006976258321206386
4,1334,161,EX_cobalt2_e,co-consumed,1.340299372793077e-05
5,1334,161,EX_cu2_e,co-consumed,9.502722553105001e-05
6,1334,161,EX_fe2_e,co-consumed,0.0009000054855249385
7,1334,161,EX_fe3_e,co-consumed,0.0010463285076026654
8,1334,161,EX_gly_asn__L_e,co-consumed,0.032308500397858396
9,1334,161,EX_glyald_e,received,1.0858253472805754
10,1334,161,EX_glyc_e,provided,0.36168741795985326
11,1334,161,EX_glygln_e,co-consumed,0.3269294572788471
12,1334,161,EX_h2o_e,received,3.8461535418115727
13,1334,161,EX_h2s_e,received,0.0329316946150509
14,1334,161,EX_h_e,co-consumed,1.8445291239945067
15,1334,161,EX_ile__L_e,co-consumed,0.029369318078327378
16,1334,161,EX_k_e,co-consumed,0.026161705547365778
17,1334,161,EX_malt_e,co-consumed,0.10670147074953666
18,1334,161,EX_mg2_e,co-consumed,0.0011627097146572386
19,1334,161,EX_mn2_e,co-consumed,9.261468666001924e-05
20,1334,161,EX_o2_e,co-consumed,3.8461538396717248
21,1334,161,EX_pi_e,co-consumed,0.18795897702046643
22,1334,161,EX_so4_e,co-consumed,0.0005814227166594961
23,1334,161,EX_ura_e,co-consumed,0.044336167374223204
24,1334,161,EX_zn2_e,co-consumed,4.570420861225384e-05
25,1334,163,EX_4abut_e,co-consumed,0.30211919135579984
26,1334,163,EX_arg__L_e,co-consumed,0.0396449825013695
27,1334,163,EX_ca2_e,co-consumed,0.0006976258541753462
28,1334,163,EX_cit_e,co-consumed,0.010816116709596531
29,1334,163,EX_cl_e,co-consumed,0.0006976258321206386
30,1334,163,EX_co_e,provided,9.045339892061923e-05
31,1334,163,EX_cobalt2_e,co-consumed,1.340299372793077e-05
32,1334,163,EX_cu2_e,co-consumed,9.502722553105001e-05
33,1334,163,EX_fe2_e,co-consumed,0.0009000054855249385
34,1334,163,EX_fe3_e,co-consumed,0.0010463285076026654
35,1334,163,EX_glyc_e,provided,1.444746419307253e-06
36,1334,163,EX_glygln_e,co-consumed,0.1949988432095493
37,1334,163,EX_h2o_e,received,3.8461535418115727
38,1334,163,EX_h2s_e,co-consumed,0.0329316946150509
39,1334,163,EX_h_e,co-consumed,1.8445291239945067
40,1334,163,EX_ile__L_e,co-consumed,0.029369318078327378
41,1334,163,EX_k_e,co-consumed,0.026161705547365778
42,1334,163,EX_leu__L_e,co-consumed,0.06183216005071879
43,1334,163,EX_lys__L_e,provided,0.07760103607809805
44,1334,163,EX_mg2_e,co-consumed,0.0011627097146572386
45,1334,163,EX_mn2_e,co-consumed,9.261468666001924e-05
46,1334,163,EX_nh4_e,provided,0.32769992533132897
47,1334,163,EX_o2_e,co-consumed,3.8461538396717248
48,1334,163,EX_orn_e,provided,4.30175819030077e-05
49,1334,163,EX_pi_e,co-consumed,0.18795897702046643
50,1334,163,EX_ser__L_e,co-consumed,0.1876537607709059
51,1334,163,EX_so4_e,co-consumed,0.0005814227166594961
52,1334,163,EX_thr__L_e,co-consumed,0.03399076745559666
53,1334,163,EX_zn2_e,co-consumed,4.570420861225384e-05
54,1334,2872,EX_arg__L_e,co-consumed,0.03778412993710433
55,1334,2872,EX_ca2_e,co-consumed,0.000664880579971927
56,1334,2872,EX_cgly_e,provided,3.029203584760515
57,1334,2872,EX_cl_e,co-consumed,0.0006648805801075193
58,1334,2872,EX_cobalt2_e,co-consumed,1.2773882704638461e-05
59,1334,2872,EX_cu2_e,co-consumed,9.056682837588846e-05
60,1334,2872,EX_fe3_e,co-consumed,0.0010463285076026654
61,1334,2872,EX_glu__L_e,co-consumed,3.8461536272625505
62,1334,2872,EX_gly_asn__L_e,co-consumed,0.030792082364474782
63,1334,2872,EX_glygln_e,co-consumed,0.20000585926190137
64,1334,2872,EX_gthrd_e,received,3.029203569710304
65,1334,2872,EX_h2o_e,co-consumed,2.115985103188254
66,1334,2872,EX_h2s_e,co-consumed,0.019666290990523264
67,1334,2872,EX_h_e,co-consumed,1.8445291239945067
68,1334,2872,EX_ile__L_e,co-consumed,0.029369318078327378
69,1334,2872,EX_k_e,co-consumed,0.024933724867666235
70,1334,2872,EX_leu__L_e,co-consumed,0.058929263383639116
71,1334,2872,EX_lys__L_e,provided,0.04511231138480005
72,1334,2872,EX_mal__L_e,co-consumed,0.8045577690663313
