taxon,count_uptakes,sum_flux_uptakes,count_secretions,sum_flux_secretions
397,223,-150.07564877415132,105,199.67988431976934
796,211,-230.41888494846913,125,399.81661171882774
997,201,-300.65649372619686,135,473.31599674945346
790,196,-399.9019429231689,108,555.6808925139485
1208,183,-255.83486514233198,96,459.88280204266783
459,182,-256.3488628346721,160,255.564508114609
428,182,-320.39439280926246,120,486.07229048375007
1101,180,-255.89833154788568,132,282.96696747480166
947,168,-232.0928683073916,104,169.06534911703724
1174,164,-179.24358059948676,108,171.03623662721148
939,158,-643.8883062192044,111,1095.6142509082442
1334,157,-793.5066028006713,132,1448.0399970984627
709,156,-994.1956643172741,108,1053.2216966446103
1338,155,-529.9536870653702,89,1145.3254555824276
2751,154,-353.4274779495142,116,470.35672183867194
895,153,-892.161186422882,88,1838.8649990720676
1234,152,-180.63664109594222,148,686.3311462637411
638,150,-328.0866950057468,91,912.3915900051443
262,149,-672.9968044347171,96,1135.1495500713122
1357,146,-269.0708961756254,99,352.7164719766229
978,146,-447.05714590449776,99,694.36503526868
1350,144,-274.9623013781137,115,304.36059247999486
1252,143,-185.16961894499124,106,345.4200419312079
1080,139,-533.83691708209,118,1005.2515721755626
1114,136,-318.12009237150284,95,617.0998442618053
1362,134,-606.7141844273754,123,953.6590256487881
