compartments,abundance,growth_rate,reactions,metabolites,tradeoff
1080,0.038461538461538464,0.0,2192,1433,0.1
1101,0.038461538461538464,0.6444098825892847,2883,1858,0.1
1114,0.038461538461538464,0.0,2032,1417,0.1
1174,0.038461538461538464,0.0,2696,1791,0.1
1208,0.038461538461538464,0.0,2635,1734,0.1
1234,0.038461538461538464,0.0,2805,1837,0.1
1252,0.038461538461538464,0.0,2312,1577,0.1
1334,0.038461538461538464,0.0,2543,1658,0.1
1338,0.038461538461538464,0.0,2268,1507,0.1
1350,0.038461538461538464,0.0,2234,1532,0.1
1357,0.038461538461538464,5.7626011700745705,2506,1629,0.1
1362,0.038461538461538464,0.0,2351,1575,0.1
262,0.038461538461538464,0.0,2236,1488,0.1
2751,0.038461538461538464,0.0,2356,1527,0.1
397,0.038461538461538464,0.0,2866,1871,0.1
428,0.038461538461538464,0.0,2744,1785,0.1
459,0.038461538461538464,0.46576837026154155,3028,1970,0.1
638,0.038461538461538464,0.0,2269,1566,0.1
709,0.038461538461538464,0.0,2186,1418,0.1
790,0.038461538461538464,0.13634630008378246,2671,1715,0.1
796,0.038461538461538464,0.0,2725,1866,0.1
895,0.038461538461538464,0.0,2258,1557,0.1
939,0.038461538461538464,6.250862449220222,2424,1617,0.1
947,0.038461538461538464,0.0,2301,1599,0.1
978,0.038461538461538464,0.0,2251,1532,0.1
997,0.038461538461538464,2.1998530190838146,2872,1879,0.1
medium,,,578,578,0.1
