compartments,abundance,growth_rate,reactions,metabolites,tradeoff
100,0.037037037037037035,6.035976406625953,2180,1434,1.0
1018,0.037037037037037035,6.614166025494703,2977,1907,1.0
1056,0.037037037037037035,6.559228905572579,2824,1808,1.0
1124,0.037037037037037035,1.3428473794736684,2164,1415,1.0
1167,0.037037037037037035,6.455246169945135,1939,1267,1.0
1174,0.037037037037037035,7.047475390365761,2696,1791,1.0
1234,0.037037037037037035,14.6444153349223,2805,1837,1.0
1334,0.037037037037037035,6.000365057414882,2543,1658,1.0
1391,0.037037037037037035,6.8807647121079265,2177,1435,1.0
1432,0.037037037037037035,6.275004261512351,2982,1920,1.0
161,0.037037037037037035,7.137712746747882,2901,1898,1.0
163,0.037037037037037035,5.990614884290445,2678,1700,1.0
230,0.037037037037037035,6.13110058697998,2227,1483,1.0
2774,0.037037037037037035,6.393630845342189,2176,1452,1.0
2862,0.037037037037037035,6.585449787641185,2690,1756,1.0
2872,0.037037037037037035,4.107725842954127,2215,1504,1.0
352,0.037037037037037035,5.936983743190757,2776,1811,1.0
364,0.037037037037037035,15.663201199470999,2445,1661,1.0
504,0.037037037037037035,16.047488519142867,2781,1836,1.0
644,0.037037037037037035,7.692279138407166,2783,1851,1.0
761,0.037037037037037035,6.771688290996766,2726,1795,1.0
778,0.037037037037037035,6.824891888212438,2910,1875,1.0
793,0.037037037037037035,5.921288495816436,2905,1878,1.0
867,0.037037037037037035,6.876256924644779,2173,1456,1.0
868,0.037037037037037035,6.84937742664969,2619,1688,1.0
892,0.037037037037037035,13.376947447958296,2920,1878,1.0
946,0.037037037037037035,7.26771869931044,2994,1913,1.0
medium,,,569,569,1.0
