compartments,abundance,growth_rate,reactions,metabolites,tradeoff
1080,0.038461538461538464,0.0,2192,1433,0.8
1101,0.038461538461538464,7.2731482251749835,2883,1858,0.8
1114,0.038461538461538464,0.0,2032,1417,0.8
1174,0.038461538461538464,4.2966444839800495,2696,1791,0.8
1208,0.038461538461538464,0.0,2635,1734,0.8
1234,0.038461538461538464,6.8559375671389216,2805,1837,0.8
1252,0.038461538461538464,4.366791610691963,2312,1577,0.8
1334,0.038461538461538464,3.327485435053219,2543,1658,0.8
1338,0.038461538461538464,9.770407572266251,2268,1507,0.8
1350,0.038461538461538464,2.2482439346018013,2234,1532,0.8
1357,0.038461538461538464,6.437009205878272,2506,1629,0.8
1362,0.038461538461538464,5.820754962860509,2351,1575,0.8
262,0.038461538461538464,2.954244679022314,2236,1488,0.8
2751,0.038461538461538464,0.0,2356,1527,0.8
397,0.038461538461538464,6.274991136501659,2866,1871,0.8
428,0.038461538461538464,5.3933876475322595,2744,1785,0.8
459,0.038461538461538464,7.645776314790227,3028,1970,0.8
638,0.038461538461538464,10.750935055742067,2269,1566,0.8
709,0.038461538461538464,9.236098433312096,2186,1418,0.8
790,0.038461538461538464,5.85086824226608,2671,1715,0.8
796,0.038461538461538464,4.533405987644904,2725,1866,0.8
895,0.038461538461538464,0.0,2258,1557,0.8
939,0.038461538461538464,7.798306623302211,2424,1617,0.8
947,0.038461538461538464,6.517804646251113,2301,1599,0.8
978,0.038461538461538464,0.0,2251,1532,0.8
997,0.038461538461538464,6.326669766494811,2872,1879,0.8
medium,,,578,578,0.8
