tradeoff,community_growth,objective_value,status
0.0,0.006904797982938325,135.4820481708268,numeric
0.1,0.5945053327993571,10991.568310288761,numeric
0.2,1.18911065924088,22151.30306803377,optimal
0.3,1.7837159888534324,33356.3445844294,optimal
0.4,2.3783213184935965,44501.84055579139,optimal
0.5,2.972926648208217,56729.51456541549,optimal
0.6,3.567531977773939,70398.13663395151,optimal
0.7,4.162137307334075,84973.04857667684,optimal
0.8,4.756742637073807,105408.02822276799,optimal
0.9,5.351348064267732,207320.2938184081,numeric
1.0,5.94597147047921,212893.06214026109,numeric
