compartments,abundance,growth_rate,reactions,metabolites,tradeoff
1080,0.038461538461538464,0.0,2192,1433,0.0
1101,0.038461538461538464,0.0,2883,1858,0.0
1114,0.038461538461538464,0.0,2032,1417,0.0
1174,0.038461538461538464,0.0,2696,1791,0.0
1208,0.038461538461538464,0.0,2635,1734,0.0
1234,0.038461538461538464,0.0,2805,1837,0.0
1252,0.038461538461538464,0.0,2312,1577,0.0
1334,0.038461538461538464,0.0,2543,1658,0.0
1338,0.038461538461538464,0.0,2268,1507,0.0
1350,0.038461538461538464,0.0,2234,1532,0.0
1357,0.038461538461538464,0.0,2506,1629,0.0
1362,0.038461538461538464,0.0,2351,1575,0.0
262,0.038461538461538464,0.0,2236,1488,0.0
2751,0.038461538461538464,0.0,2356,1527,0.0
397,0.038461538461538464,0.0,2866,1871,0.0
428,0.038461538461538464,0.0,2744,1785,0.0
459,0.038461538461538464,0.0,3028,1970,0.0
638,0.038461538461538464,0.0,2269,1566,0.0
709,0.038461538461538464,0.0,2186,1418,0.0
790,0.038461538461538464,0.0,2671,1715,0.0
796,0.038461538461538464,0.0,2725,1866,0.0
895,0.038461538461538464,0.0,2258,1557,0.0
939,0.038461538461538464,0.0,2424,1617,0.0
947,0.038461538461538464,0.0,2301,1599,0.0
978,0.038461538461538464,0.0,2251,1532,0.0
997,0.038461538461538464,0.0,2872,1879,0.0
medium,,,578,578,0.0
