compartments,abundance,growth_rate,reactions,metabolites,tradeoff
1080,0.038461538461538464,0.0,2192,1433,0.2
1101,0.038461538461538464,3.6672216390340244,2883,1858,0.2
1114,0.038461538461538464,0.0,2032,1417,0.2
1174,0.038461538461538464,0.0,2696,1791,0.2
1208,0.038461538461538464,0.0,2635,1734,0.2
1234,0.038461538461538464,0.0,2805,1837,0.2
1252,0.038461538461538464,0.0,2312,1577,0.2
1334,0.038461538461538464,0.0,2543,1658,0.2
1338,0.038461538461538464,0.0,2268,1507,0.2
1350,0.038461538461538464,0.0,2234,1532,0.2
1357,0.038461538461538464,5.771570834080726,2506,1629,0.2
1362,0.038461538461538464,0.0,2351,1575,0.2
262,0.038461538461538464,0.0,2236,1488,0.2
2751,0.038461538461538464,0.0,2356,1527,0.2
397,0.038461538461538464,0.0,2866,1871,0.2
428,0.038461538461538464,0.0,2744,1785,0.2
459,0.038461538461538464,6.202482496791171,3028,1970,0.2
638,0.038461538461538464,0.0,2269,1566,0.2
709,0.038461538461538464,0.0,2186,1418,0.2
790,0.038461538461538464,4.516444804205182,2671,1715,0.2
796,0.038461538461538464,0.0,2725,1866,0.2
895,0.038461538461538464,0.0,2258,1557,0.2
939,0.038461538461538464,6.284493157291811,2424,1617,0.2
947,0.038461538461538464,0.0,2301,1599,0.2
978,0.038461538461538464,0.0,2251,1532,0.2
997,0.038461538461538464,4.47749545122352,2872,1879,0.2
medium,,,578,578,0.2
