,drop_997.pkl,drop_997.pkl,drop_997.pkl,drop_997.pkl,drop_1357.pkl,drop_1357.pkl,drop_1357.pkl,drop_1357.pkl,drop_397.pkl,drop_397.pkl,drop_397.pkl,drop_397.pkl,drop_1234.pkl,drop_1234.pkl,drop_1234.pkl,drop_1234.pkl,drop_262.pkl,drop_262.pkl,drop_262.pkl,drop_262.pkl,drop_1252.pkl,drop_1252.pkl,drop_1252.pkl,drop_1252.pkl,drop_1174.pkl,drop_1174.pkl,drop_1174.pkl,drop_1174.pkl,drop_1338.pkl,drop_1338.pkl,drop_1338.pkl,drop_1338.pkl,drop_2751.pkl,drop_2751.pkl,drop_2751.pkl,drop_2751.pkl,drop_978.pkl,drop_978.pkl,drop_978.pkl,drop_978.pkl,drop_1114.pkl,drop_1114.pkl,drop_1114.pkl,drop_1114.pkl,drop_895.pkl,drop_895.pkl,drop_895.pkl,drop_895.pkl,drop_939.pkl,drop_939.pkl,drop_939.pkl,drop_939.pkl,drop_1334.pkl,drop_1334.pkl,drop_1334.pkl,drop_1334.pkl,drop_638.pkl,drop_638.pkl,drop_638.pkl,drop_638.pkl,drop_1350.pkl,drop_1350.pkl,drop_1350.pkl,drop_1350.pkl,drop_709.pkl,drop_709.pkl,drop_709.pkl,drop_709.pkl,drop_1362.pkl,drop_1362.pkl,drop_1362.pkl,drop_1362.pkl,drop_1101.pkl,drop_1101.pkl,drop_1101.pkl,drop_1101.pkl,drop_947.pkl,drop_947.pkl,drop_947.pkl,drop_947.pkl,drop_1208.pkl,drop_1208.pkl,drop_1208.pkl,drop_1208.pkl,drop_790.pkl,drop_790.pkl,drop_790.pkl,drop_790.pkl,drop_428.pkl,drop_428.pkl,drop_428.pkl,drop_428.pkl,drop_459.pkl,drop_459.pkl,drop_459.pkl,drop_459.pkl
,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites,abundance,growth_rate,reactions,metabolites
taxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,0.04,10.863189357285423,2268.0,1507.0,0.04,10.916693807481902,2268.0,1507.0,0.04,10.951213774728444,2268.0,1507.0,0.04,13.368490448921294,2268.0,1507.0,0.04,12.071344661053379,2268.0,1507.0,0.04,9.674830348578457,2268.0,1507.0,0.04,10.868279621938939,2268.0,1507.0,,,,,0.04,10.636982767054938,2268.0,1507.0,0.04,10.787348093810975,2268.0,1507.0,0.04,10.627623140026103,2268.0,1507.0,0.04,11.069137412757692,2268.0,1507.0,0.04,11.152232439002482,2268.0,1507.0,0.04,11.048422413702305,2268.0,1507.0,0.04,11.01220321249563,2268.0,1507.0,0.04,10.57168780600382,2268.0,1507.0,0.04,10.801893349911433,2268.0,1507.0,0.04,12.028176701564105,2268.0,1507.0,0.04,11.02555668144937,2268.0,1507.0,0.04,10.979270080338418,2268.0,1507.0,0.04,10.886453999774591,2268.0,1507.0,0.04,10.66575463551016,2268.0,1507.0,0.04,11.003642536536463,2268.0,1507.0,0.04,10.78519892272511,2268.0,1507.0
1350,0.04,2.018012266354712,2234.0,1532.0,0.04,2.017978986486555,2234.0,1532.0,0.04,2.017998785610957,2234.0,1532.0,0.04,1.996085239736474,2234.0,1532.0,0.04,2.018377334278211,2234.0,1532.0,0.04,2.1425683044356925,2234.0,1532.0,0.04,1.9952412365997496,2234.0,1532.0,0.04,2.0375149148287033,2234.0,1532.0,0.04,2.0074989235360556,2234.0,1532.0,0.04,2.018012638468317,2234.0,1532.0,0.04,2.028078387932136,2234.0,1532.0,0.04,2.1915940041722424,2234.0,1532.0,0.04,2.162855845993513,2234.0,1532.0,0.04,2.2677410305132977,2234.0,1532.0,0.04,2.0199741122395127,2234.0,1532.0,,,,,0.04,2.0136803194453043,2234.0,1532.0,0.04,2.2015801826499035,2234.0,1532.0,0.04,2.0180074016322793,2234.0,1532.0,0.04,2.0180036423001853,2234.0,1532.0,0.04,2.0941117521596735,2234.0,1532.0,0.04,1.95824602075034,2234.0,1532.0,0.04,2.017988636913902,2234.0,1532.0,0.04,2.018136748860124,2234.0,1532.0
1357,0.04,6.64870770647492,2506.0,1629.0,,,,,0.04,6.587974058606137,2506.0,1629.0,0.04,6.635252437738988,2506.0,1629.0,0.04,6.649271361691275,2506.0,1629.0,0.04,6.62313099397075,2506.0,1629.0,0.04,6.641520333260347,2506.0,1629.0,0.04,6.650280142544826,2506.0,1629.0,0.04,6.627506808505648,2506.0,1629.0,0.04,6.54193639198866,2506.0,1629.0,0.04,6.528973178958142,2506.0,1629.0,0.04,6.649576086923479,2506.0,1629.0,0.04,6.505654686819173,2506.0,1629.0,0.04,6.648714709902137,2506.0,1629.0,0.04,6.6413182190844395,2506.0,1629.0,0.04,6.414858115156832,2506.0,1629.0,0.04,6.554121073206698,2506.0,1629.0,0.04,6.622795556299158,2506.0,1629.0,0.04,6.464894646655037,2506.0,1629.0,0.04,6.648719323836209,2506.0,1629.0,0.04,6.441227678279926,2506.0,1629.0,0.04,6.594783698134968,2506.0,1629.0,0.04,6.596608715762208,2506.0,1629.0,0.04,6.421025895933883,2506.0,1629.0
1362,0.04,11.083379335613376,2351.0,1575.0,0.04,11.161769442754721,2351.0,1575.0,0.04,11.22600352377844,2351.0,1575.0,0.04,17.69488933794727,2351.0,1575.0,0.04,12.281860996920718,2351.0,1575.0,0.04,9.828788908330896,2351.0,1575.0,0.04,14.262945486291036,2351.0,1575.0,0.04,11.459952679221285,2351.0,1575.0,0.04,10.839497782788209,2351.0,1575.0,0.04,10.970104663217725,2351.0,1575.0,0.04,10.83426169846445,2351.0,1575.0,0.04,11.261618669920649,2351.0,1575.0,0.04,11.50831300600096,2351.0,1575.0,0.04,11.33340532870802,2351.0,1575.0,0.04,11.2244427488906,2351.0,1575.0,0.04,10.773923894439678,2351.0,1575.0,0.04,11.011828173330711,2351.0,1575.0,,,,,0.04,11.287375935576952,2351.0,1575.0,0.04,11.245882555112727,2351.0,1575.0,0.04,11.153027475442283,2351.0,1575.0,0.04,11.03883670027728,2351.0,1575.0,0.04,11.260116854830917,2351.0,1575.0,0.04,11.007373840262858,2351.0,1575.0
262,0.04,11.12234138374654,2236.0,1488.0,0.04,11.172960878759593,2236.0,1488.0,0.04,11.30355950181445,2236.0,1488.0,0.04,12.462597075601362,2236.0,1488.0,,,,,0.04,9.887065213851143,2236.0,1488.0,0.04,12.18933779344889,2236.0,1488.0,0.04,11.592809736191324,2236.0,1488.0,0.04,10.896452388392397,2236.0,1488.0,0.04,11.026832241595345,2236.0,1488.0,0.04,10.97645015526314,2236.0,1488.0,0.04,11.0420266625922,2236.0,1488.0,0.04,11.051557651916342,2236.0,1488.0,0.04,10.950517385230564,2236.0,1488.0,0.04,11.276835052708334,2236.0,1488.0,0.04,10.944257707160824,2236.0,1488.0,0.04,11.117211809935823,2236.0,1488.0,0.04,12.096138091549385,2236.0,1488.0,0.04,11.288623552780074,2236.0,1488.0,0.04,11.361844103275114,2236.0,1488.0,0.04,11.280032051700177,2236.0,1488.0,0.04,10.963201940273402,2236.0,1488.0,0.04,11.266199157258558,2236.0,1488.0,0.04,11.149039437555697,2236.0,1488.0
2751,0.04,0.3511039367081002,2356.0,1527.0,0.04,0.36148819104025365,2356.0,1527.0,0.04,0.5471983777696189,2356.0,1527.0,0.04,0.00010413174320202975,2356.0,1527.0,0.04,0.16485756280332045,2356.0,1527.0,0.04,0.5188524927514379,2356.0,1527.0,0.04,6.893622893828625e-05,2356.0,1527.0,0.04,0.11198209688594869,2356.0,1527.0,,,,,0.04,0.38020317016247424,2356.0,1527.0,0.04,0.08194204405497901,2356.0,1527.0,0.04,1.880935113130423,2356.0,1527.0,0.04,0.21143603695423652,2356.0,1527.0,0.04,0.5917708794627148,2356.0,1527.0,0.04,0.262719696498759,2356.0,1527.0,0.04,1.0743538967702482,2356.0,1527.0,0.04,0.42507905678485064,2356.0,1527.0,0.04,0.5615281921883915,2356.0,1527.0,0.04,0.33739126643495315,2356.0,1527.0,0.04,0.6190228903762989,2356.0,1527.0,0.04,0.5262343690010658,2356.0,1527.0,0.04,1.3775127221103174,2356.0,1527.0,0.04,0.7245689582480043,2356.0,1527.0,0.04,0.18262884433514026,2356.0,1527.0
397,0.04,6.0192763706108,2866.0,1871.0,0.04,5.744144278717234,2866.0,1871.0,,,,,0.04,6.393557988427394,2866.0,1871.0,0.04,5.727666130732387,2866.0,1871.0,0.04,5.707545526324189,2866.0,1871.0,0.04,6.39285384868674,2866.0,1871.0,0.04,6.097503301644207,2866.0,1871.0,0.04,5.843198349854175,2866.0,1871.0,0.04,5.7500508988539645,2866.0,1871.0,0.04,5.768476516428776,2866.0,1871.0,0.04,5.814671848061048,2866.0,1871.0,0.04,5.814779406527917,2866.0,1871.0,0.04,5.723943359104796,2866.0,1871.0,0.04,5.859019099605885,2866.0,1871.0,0.04,5.670533819592141,2866.0,1871.0,0.04,5.808448887062073,2866.0,1871.0,0.04,6.096195436083355,2866.0,1871.0,0.04,5.721587139426964,2866.0,1871.0,0.04,5.601019670010737,2866.0,1871.0,0.04,5.731352358876611,2866.0,1871.0,0.04,5.769631370638025,2866.0,1871.0,0.04,5.721626286666872,2866.0,1871.0,0.04,5.722094450809833,2866.0,1871.0
428,0.04,6.499767152941231,2744.0,1785.0,0.04,6.301376394735362,2744.0,1785.0,0.04,6.302082542587088,2744.0,1785.0,0.04,6.727108639938977,2744.0,1785.0,0.04,6.408323196571386,2744.0,1785.0,0.04,6.315921217416528,2744.0,1785.0,0.04,6.706453685262849,2744.0,1785.0,0.04,6.506392327869749,2744.0,1785.0,0.04,6.567558639521042,2744.0,1785.0,0.04,6.3044556594974175,2744.0,1785.0,0.04,6.377788382861286,2744.0,1785.0,0.04,6.408762235357254,2744.0,1785.0,0.04,6.688092597096146,2744.0,1785.0,0.04,6.461173760378628,2744.0,1785.0,0.04,6.373656882569345,2744.0,1785.0,0.04,6.167454271438541,2744.0,1785.0,0.04,6.49922653573873,2744.0,1785.0,0.04,6.410181637405708,2744.0,1785.0,0.04,6.378518025412754,2744.0,1785.0,0.04,6.303325617278997,2744.0,1785.0,0.04,6.30186231663387,2744.0,1785.0,0.04,6.177765797732402,2744.0,1785.0,,,,,0.04,6.164991855525859,2744.0,1785.0
459,0.04,6.144976067447142,3028.0,1970.0,0.04,6.2407079837538415,3028.0,1970.0,0.04,6.241802021885945,3028.0,1970.0,0.04,6.195872577776823,3028.0,1970.0,0.04,6.195032633142317,3028.0,1970.0,0.04,6.215373880935021,3028.0,1970.0,0.04,6.351628143976761,3028.0,1970.0,0.04,6.240686680228224,3028.0,1970.0,0.04,6.240673794231357,3028.0,1970.0,0.04,6.142371019359879,3028.0,1970.0,0.04,6.214458626591255,3028.0,1970.0,0.04,6.2059927518568765,3028.0,1970.0,0.04,6.0499041811459495,3028.0,1970.0,0.04,6.049756223953392,3028.0,1970.0,0.04,6.241084716274998,3028.0,1970.0,0.04,6.134602773636443,3028.0,1970.0,0.04,6.240668198895429,3028.0,1970.0,0.04,6.14713898406585,3028.0,1970.0,0.04,6.240669442157789,3028.0,1970.0,0.04,6.188353694186681,3028.0,1970.0,0.04,6.221681346328229,3028.0,1970.0,0.04,6.082122108037328,3028.0,1970.0,0.04,6.169566707970128,3028.0,1970.0,,,,
638,0.04,9.736947903261592,2269.0,1566.0,0.04,9.665057823177404,2269.0,1566.0,0.04,9.674867581968915,2269.0,1566.0,0.04,11.42158320839639,2269.0,1566.0,0.04,10.26925538966835,2269.0,1566.0,0.04,8.916373099682989,2269.0,1566.0,0.04,11.216423910109825,2269.0,1566.0,0.04,10.211463659543702,2269.0,1566.0,0.04,9.538491198824453,2269.0,1566.0,0.04,9.629586241593548,2269.0,1566.0,0.04,10.381358396565654,2269.0,1566.0,0.04,9.573154436876193,2269.0,1566.0,0.04,9.750156018416282,2269.0,1566.0,0.04,9.504982738227445,2269.0,1566.0,,,,,0.04,9.156980003344218,2269.0,1566.0,0.04,9.736711803983603,2269.0,1566.0,0.04,10.707347682326281,2269.0,1566.0,0.04,9.756875949854102,2269.0,1566.0,0.04,9.769289355370063,2269.0,1566.0,0.04,9.623614989445391,2269.0,1566.0,0.04,9.416284015461569,2269.0,1566.0,0.04,9.702055769878003,2269.0,1566.0,0.04,9.583905820353417,2269.0,1566.0
